"series","window","n_obs","test","spec","transform","statistic","cv_5pct","lags","reject_H0","H0"
"Trucking_LD_LTL","max",253,"ADF","trend","log level",-2.4198429249258,-3.42,1,FALSE,"unit root"
"Trucking_LD_LTL","max",253,"ADF","drift","log level",-0.196703611998315,-2.87,1,FALSE,"unit root"
"Trucking_LD_LTL","max",253,"ADF","drift","log diff",-10.5215692400709,-2.87,1,TRUE,"unit root"
"Trucking_LD_LTL","max",253,"ADF","trend","log level, seas. demeaned",-3.02083877896355,-3.42,12,FALSE,"unit root"
"Trucking_LD_LTL","max",253,"ADF","drift","log diff, seas. demeaned",-4.15337488627622,-2.87,12,TRUE,"unit root"
"Trucking_LD_LTL","max",253,"KPSS","tau","log level",0.197460205634031,0.146,NA,TRUE,"stationary"
"Trucking_LD_LTL","max",253,"KPSS","mu","log level",1.64364066126829,0.463,NA,TRUE,"stationary"
"Trucking_LD_LTL","max",253,"KPSS","mu","log diff",0.0443558553074969,0.463,NA,FALSE,"stationary"
"Trucking_LD_LTL","max",253,"ZA","both","log level, break 2021-10",-4.18967381504718,-5.08,NA,FALSE,"unit root"
"Trucking_LD_LTL","common",253,"ADF","trend","log level",-2.4198429249258,-3.42,1,FALSE,"unit root"
"Trucking_LD_LTL","common",253,"ADF","drift","log level",-0.196703611998315,-2.87,1,FALSE,"unit root"
"Trucking_LD_LTL","common",253,"ADF","drift","log diff",-10.5215692400709,-2.87,1,TRUE,"unit root"
"Trucking_LD_LTL","common",253,"ADF","trend","log level, seas. demeaned",-3.02083877896355,-3.42,12,FALSE,"unit root"
"Trucking_LD_LTL","common",253,"ADF","drift","log diff, seas. demeaned",-4.15337488627622,-2.87,12,TRUE,"unit root"
"Trucking_LD_LTL","common",253,"KPSS","tau","log level",0.197460205634031,0.146,NA,TRUE,"stationary"
"Trucking_LD_LTL","common",253,"KPSS","mu","log level",1.64364066126829,0.463,NA,TRUE,"stationary"
"Trucking_LD_LTL","common",253,"KPSS","mu","log diff",0.0443558553074969,0.463,NA,FALSE,"stationary"
"Trucking_LD_LTL","common",253,"ZA","both","log level, break 2021-10",-4.18967381504718,-5.08,NA,FALSE,"unit root"
"Trucking_LD_Truckload","max",253,"ADF","trend","log level",-2.82067879536097,-3.42,8,FALSE,"unit root"
"Trucking_LD_Truckload","max",253,"ADF","drift","log level",-1.03259442683359,-2.87,9,FALSE,"unit root"
"Trucking_LD_Truckload","max",253,"ADF","drift","log diff",-4.17744228289884,-2.87,8,TRUE,"unit root"
"Trucking_LD_Truckload","max",253,"ADF","trend","log level, seas. demeaned",-2.3515094924483,-3.42,9,FALSE,"unit root"
"Trucking_LD_Truckload","max",253,"ADF","drift","log diff, seas. demeaned",-4.53759820336075,-2.87,8,TRUE,"unit root"
"Trucking_LD_Truckload","max",253,"KPSS","tau","log level",0.20861135436382,0.146,NA,TRUE,"stationary"
"Trucking_LD_Truckload","max",253,"KPSS","mu","log level",1.34281662132517,0.463,NA,TRUE,"stationary"
"Trucking_LD_Truckload","max",253,"KPSS","mu","log diff",0.0529590195712167,0.463,NA,FALSE,"stationary"
"Trucking_LD_Truckload","max",253,"ZA","both","log level, break 2021-07",-5.64105162271589,-5.08,NA,TRUE,"unit root"
"Trucking_LD_Truckload","common",253,"ADF","trend","log level",-2.82067879536097,-3.42,8,FALSE,"unit root"
"Trucking_LD_Truckload","common",253,"ADF","drift","log level",-1.03259442683359,-2.87,9,FALSE,"unit root"
"Trucking_LD_Truckload","common",253,"ADF","drift","log diff",-4.17744228289884,-2.87,8,TRUE,"unit root"
"Trucking_LD_Truckload","common",253,"ADF","trend","log level, seas. demeaned",-2.3515094924483,-3.42,9,FALSE,"unit root"
"Trucking_LD_Truckload","common",253,"ADF","drift","log diff, seas. demeaned",-4.53759820336075,-2.87,8,TRUE,"unit root"
"Trucking_LD_Truckload","common",253,"KPSS","tau","log level",0.20861135436382,0.146,NA,TRUE,"stationary"
"Trucking_LD_Truckload","common",253,"KPSS","mu","log level",1.34281662132517,0.463,NA,TRUE,"stationary"
"Trucking_LD_Truckload","common",253,"KPSS","mu","log diff",0.0529590195712167,0.463,NA,FALSE,"stationary"
"Trucking_LD_Truckload","common",253,"ZA","both","log level, break 2021-07",-5.64105162271589,-5.08,NA,TRUE,"unit root"
"Trucking_Local","max",253,"ADF","trend","log level",-2.27523682540454,-3.42,10,FALSE,"unit root"
"Trucking_Local","max",253,"ADF","drift","log level",-0.865556691415141,-2.87,10,FALSE,"unit root"
"Trucking_Local","max",253,"ADF","drift","log diff",-4.70485606425743,-2.87,9,TRUE,"unit root"
"Trucking_Local","max",253,"ADF","trend","log level, seas. demeaned",-2.09656946788302,-3.42,10,FALSE,"unit root"
"Trucking_Local","max",253,"ADF","drift","log diff, seas. demeaned",-5.08155932293837,-2.87,9,TRUE,"unit root"
"Trucking_Local","max",253,"KPSS","tau","log level",0.19617571959747,0.146,NA,TRUE,"stationary"
"Trucking_Local","max",253,"KPSS","mu","log level",1.41390805925567,0.463,NA,TRUE,"stationary"
"Trucking_Local","max",253,"KPSS","mu","log diff",0.0776296859713071,0.463,NA,FALSE,"stationary"
"Trucking_Local","max",253,"ZA","both","log level, break 2016-01",-4.1093800729858,-5.08,NA,FALSE,"unit root"
"Trucking_Local","common",253,"ADF","trend","log level",-2.27523682540454,-3.42,10,FALSE,"unit root"
"Trucking_Local","common",253,"ADF","drift","log level",-0.865556691415141,-2.87,10,FALSE,"unit root"
"Trucking_Local","common",253,"ADF","drift","log diff",-4.70485606425743,-2.87,9,TRUE,"unit root"
"Trucking_Local","common",253,"ADF","trend","log level, seas. demeaned",-2.09656946788302,-3.42,10,FALSE,"unit root"
"Trucking_Local","common",253,"ADF","drift","log diff, seas. demeaned",-5.08155932293837,-2.87,9,TRUE,"unit root"
"Trucking_Local","common",253,"KPSS","tau","log level",0.19617571959747,0.146,NA,TRUE,"stationary"
"Trucking_Local","common",253,"KPSS","mu","log level",1.41390805925567,0.463,NA,TRUE,"stationary"
"Trucking_Local","common",253,"KPSS","mu","log diff",0.0776296859713071,0.463,NA,FALSE,"stationary"
"Trucking_Local","common",253,"ZA","both","log level, break 2016-01",-4.1093800729858,-5.08,NA,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","trend","log level",-2.22876659852439,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","drift","log level",-1.79364188020801,-2.87,2,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","drift","log diff",-9.54679884228191,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","trend","log level, seas. demeaned",-2.29888300253184,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","max",253,"ADF","drift","log diff, seas. demeaned",-9.55126314906048,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","max",253,"KPSS","tau","log level",0.29201934726232,0.146,NA,TRUE,"stationary"
"Airfreight_Scheduled","max",253,"KPSS","mu","log level",1.41624777683291,0.463,NA,TRUE,"stationary"
"Airfreight_Scheduled","max",253,"KPSS","mu","log diff",0.135359767681903,0.463,NA,FALSE,"stationary"
"Airfreight_Scheduled","max",253,"ZA","both","log level, break 2010-09",-3.95299349794132,-5.08,NA,FALSE,"unit root"
"Airfreight_Scheduled","common",253,"ADF","trend","log level",-2.22876659852439,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","common",253,"ADF","drift","log level",-1.79364188020801,-2.87,2,FALSE,"unit root"
"Airfreight_Scheduled","common",253,"ADF","drift","log diff",-9.54679884228191,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","common",253,"ADF","trend","log level, seas. demeaned",-2.29888300253184,-3.42,2,FALSE,"unit root"
"Airfreight_Scheduled","common",253,"ADF","drift","log diff, seas. demeaned",-9.55126314906048,-2.87,1,TRUE,"unit root"
"Airfreight_Scheduled","common",253,"KPSS","tau","log level",0.29201934726232,0.146,NA,TRUE,"stationary"
"Airfreight_Scheduled","common",253,"KPSS","mu","log level",1.41624777683291,0.463,NA,TRUE,"stationary"
"Airfreight_Scheduled","common",253,"KPSS","mu","log diff",0.135359767681903,0.463,NA,FALSE,"stationary"
"Airfreight_Scheduled","common",253,"ZA","both","log level, break 2010-09",-3.95299349794132,-5.08,NA,FALSE,"unit root"
"Airfreight_NonScheduled","max",199,"ADF","trend","log level",-3.21724319987355,-3.43,2,FALSE,"unit root"
