"run","dummies","identified","mode_sig","IC_sig","shock_sig","crisis_sig","cells"
"A_common_censusIC","none",3,0,3,0,0,24
"A_common_censusIC","orig",16,15,16,15,0,24
"A_common_censusIC","za_step",12,2,12,1,0,24
"A_common_censusIC","za_window",10,8,7,5,0,24
"A_common_censusIC","za_series",10,5,10,1,0,24
"B_common_whseconstr","none",9,9,3,0,0,24
"B_common_whseconstr","orig",9,9,3,3,0,24
"B_common_whseconstr","za_step",15,8,11,5,0,24
"B_common_whseconstr","za_window",9,4,5,3,0,24
"B_common_whseconstr","za_series",11,7,7,0,0,24
"C_full_whseconstr","none",9,8,8,0,0,24
"C_full_whseconstr","orig",9,8,8,7,0,24
"C_full_whseconstr","za_step",13,7,12,1,0,24
"C_full_whseconstr","za_window",9,5,9,0,0,24
"C_full_whseconstr","za_series",12,6,9,2,0,24
"D_deflated_censusIC","none",2,2,2,0,0,24
"D_deflated_censusIC","orig",13,13,3,6,2,24
"D_deflated_censusIC","za_step",8,8,6,0,0,24
"D_deflated_censusIC","za_window",11,11,7,6,0,24
"D_deflated_censusIC","za_series",5,5,5,3,0,24
"E_prepandemic_censusIC","none",2,1,1,0,0,24
"E_prepandemic_censusIC","crisis_only",6,1,6,0,0,24
